text,valor,etiqueta
b'@FridaCoral ven a chetu mejor',0,123
b'quiero y necesito verte yaaaa',0,123
b'Danniel es como mi amor frustrado',1,qwe
b'Solo a los fav responde celosa mil @belindapop #AskBeli',0,123
b'@belindapop #AskBeli \xc3\x83\xe2\x80\x9a\xc3\x82\xc2\xbfPorque siempre respondes a los mismos EH?',2,asd
"b'Estoy aprendiendo a hacer lo mismo, pero diferente'",2,asd
b'Si pudiera adoptar\xc3\x83\xc6\x92\xc3\x82\xc2\xada a todos los perros y gatos abandonados',1,qwe
b'@lucinda_potter Extra\xc3\x83\xc6\x92\xc3\x82\xc2\xb1o cuando era el \xc3\x83\xc6\x92\xc3\x82\xc2\xbanico miembro de Lunes 28 que iba',0,123
"b'No soy mala, ni muy buena, pero quiero estar contigo'",1,qwe
"b'Ya quer\xc3\x83\xc6\x92\xc3\x82\xc2\xada ser amable, mi amor. Pero no pinches puedo.'",,
b'@dimefer_ Ya estoy contando los d\xc3\x83\xc6\x92\xc3\x82\xc2\xadas para volver a vernos y todav\xc3\x83\xc6\x92\xc3\x82\xc2\xada ni me voy',,
b'@andresg9108 y que los demas solo den npm install y se instalen los paquetes guardados previamente',,
"b'@rctorr si hace unos dias vi eso, igual este viernes pase x el gato rollero cc @Chemasmas @Ritalin_P @HackeaMesta'",,
b'Los que tengan credencial de la UNAM comprenme boletos para el partido y luego se los pago',,
"b'Navidad 2015, Navidad 2016... No dir\xc3\x83\xc6\x92\xc3\x82\xc2\xa9 m\xc3\x83\xc6\x92\xc3\x82\xc2\xa1s!!! Pobre de ti... Sin Cerebro'",,
"b'""un d\xc3\x83\xc6\x92\xc3\x82\xc2\xada volver\xc3\x83\xc6\x92\xc3\x82\xc2\xa1"" ese fue el consuelo al decir que te hab\xc3\x83\xc6\x92\xc3\x82\xc2\xadas ido,que te extra\xc3\x83\xc6\x92\xc3\x82\xc2\xb1o'",,
