text,etiqueta
@FridaCoral ven a chetu mejor,Pos
quiero y necesito verte yaaaa,Neu
Danniel es como mi amor frustrado,Pos
Solo a los fav responde celosa mil @belindapop #AskBeli,Pos
@belindapop #AskBeli ¿Porque siempre respondes a los mismos EH?,Pos
"Estoy aprendiendo a hacer lo mismo, pero diferente",Neu
Si pudiera adoptaría a todos los perros y gatos abandonados,3
@lucinda_potter Extraño cuando era el único miembro de Lunes 28 que iba,2
"No soy mala, ni muy buena, pero quiero estar contigo",2
"Ya quería ser amable, mi amor. Pero no pinches puedo.",1
@dimefer_ Ya estoy contando los días para volver a vernos y todavía ni me voy,
@andresg9108 y que los demas solo den npm install y se instalen los paquetes guardados previamente,
"@rctorr si hace unos dias vi eso, igual este viernes pase x el gato rollero cc @Chemasmas @Ritalin_P @HackeaMesta",
Los que tengan credencial de la UNAM comprenme boletos para el partido y luego se los pago,
"Navidad 2015, Navidad 2016... No diré más!!! Pobre de ti... Sin Cerebro",
"""un día volverá"" ese fue el consuelo al decir que te habías ido,que te extraño",
@ElaKageyama A mi me agrada sentirme cansado me imagino que soy como Rocky apunto de pelear contra Draco y así.,
Me duele ver este tipo de documentales. Encabrona ver el nivel de estupidez humana que existe en nuestra sociedad.,
"Por si no sabes, al tirar eso a la basura fue como si hubieras tirado un pedacito de mi corazón...",
Bueno la Pop no me respondió hoy pero estoy seguro de que se irá a dormir contenta de existir &lt,
"@fer_zamruv Me late la idea Fer, ¿qué día puedes? mil gracias, que tu semestre también sea bien bonito, disfrútalo mucho...",
"Gracias a Comedy Central y MTV voy a estar en la nueva temporada de South Park, no se la pierdan [naa.. solo me…",
"No quiero trabajar porque ayer yoosung me llamó y no le respondí, si hoy me pasa lo mismo me suicido, quiero escuchar su voz",
"Yo y mi melancolía Mis días trágicos de depresión y no quiero hacer nada, no trabajo, no salir, me siento vacía",
"Tengo dolor de estomago no se que me aria mal si los tacos,los esquimales,el esquiete,el chocolate, las empanadas o el marquesote",
"Dice el doctor que sospecha que las lesiones sean de marisco pegajoso por eso tomo biopsias. - Se llama molusco contagioso - Ah, si, eso.",
"Acabo de recibir un CV de un diseñador dentro de una revista en pdf, videos de su novia en youtube y jpgs random Still don't get it.",
"Así que valoren los buenos días que les dan aunque no sea de la persona que les gusta, si te los dan es por algo. Ash, los odie",
"""Un soldado en cada hijo te dió"" dice el himno, pero no es así, te hemos fallado México, unos en hechos y otros por limitarnos a observar",
"—Mi celular no sirve. —¿Por qué lo dices? —Es que no me llegan sus mensajes. —A lo mejor no te ha mandado mensajes. —QUE NO SIRVE, DIJE!",
"—¿Me invitas un café? —Sí, vamos al mejor café del mundo. —¿Ese cuál es? —El café de tus ojos. —¿No traes dinero verdad? —No, soy pobre.",
$gruma manipulada..????..No creo..!!!..Todo el 2016 estaba pal perro..!!!...Ahora resulta..!!!...o reportó el trimestre..??...,
"Que triste es la vida, que me acabo de dar cuenta que NO HAY EMOJIS DE CARNE ASADA!!!!!!!!!!!!!!!!! #fuckingvida",
"Sentí muy feo, entré a su Twitter y ya no me sigue  ya valió...ahora si ya se acabó, no me habla por whats y no me sigue en ninguna rs",
Aun que vengas de rodillas &amp; me implores &amp; me digas aun que vengas &amp; me llores que te absuelva &amp; perdone este es el ultimo adiós (,
"Le dije a mi mama de la perfo en la nariz y me dijo ""ve a verlo"" no sé si me lo dijo así buen pedo o en plan ""te voy a partir la madre""",
@yisusdude jaja a buena respuesta,
@jancarlobg A veces me siento sola,
Ni está tan bonita su novia,
@MariaJose_LB yo ya quería asado de tu boda,
Qué feo es que te dejen de hablar,
Porque crees que los hombres son complicados @belindapop #AskBeli aiuda!,
@khareniafdz busco a Rodrigo en donde lo tienes ya lo extraño,
Es turbo jodido no tener dinero para pagar academias de baile,
